ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Test
460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,A,23
460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,B,99
460191,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,D,83
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C,25
463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,B,52
463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,D,23
463952,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,A,79
461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,C,20
465379,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,C,57
463814,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,D,75
466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,A,92
460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,B,29
462204,Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4,A,91
461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,D,94
459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,C,54
459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,C,36
464734,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,D,39
464125,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,D,30
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B,13
460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,C,44
465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,C,72
463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,D,35
467066,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,B,60
463845,Male,Yes,58,Yes,Artist,99.0,Average,1.0,Cat_6,D,28
459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,D,8
461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,C,33
465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,C,60
462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,D,84
464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,C,24
466911,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,B,74
462806,Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4,A,37
463426,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6,A,16
464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,B,90
462979,Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6,D,29
462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,D,4
460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,D,16
460185,Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6,D,53
459749,Male,Yes,59,Yes,Entertainment,99.0,Low,4.0,Cat_4,A,67
464406,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,A,28
462059,Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,C,4
467905,Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,D,29
461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B,97
460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6,D,55
465386,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,C,4
462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7,A,71
464481,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,C,36
461011,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,B,61
464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,B,30
461094,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3,D,67
462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,D,13
464524,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6,A,5
461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,C,69
467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,A,3
460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,C,47
465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,A,26
466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,C,35
464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,D,14
459478,Male,Yes,46,Yes,Artist,99.0,Low,1.0,Cat_6,A,78
460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,B,56
459853,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6,A,44
459390,Female,No,41,No,Artist,99.0,Low,2.0,Cat_6,B,36
460410,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,D,25
463823,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,D,53
462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,B,95
459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,A,18
459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,C,43
459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,C,88
465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,B,91
461631,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,C,8
464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,A,15
461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,B,32
467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,D,49
464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,C,37
464972,Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4,A,93
467959,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,A,13
467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,C,92
460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,B,52
466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,C,37
461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,D,34
465662,Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,C,94
459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,C,63
466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,B,88
459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,C,81
465710,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,C,22
460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,D,64
462813,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,A,0
467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,C,0
465291,Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,C,31
462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,C,8
463497,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,D,10
465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,B,33
464702,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,C,71
459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,B,67
465053,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,C,40
459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,B,53
464166,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,B,53
458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,C,53
467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,C,15
464866,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3,D,39
461081,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,D,82
467896,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,D,4
463991,Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,A,13
466620,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,C,3
462594,Male,Yes,52,No,Entertainment,99.0,Average,5.0,Cat_4,B,7
462206,Female,No,29,Yes,Artist,99.0,Low,1.0,Cat_4,B,97
460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,C,94
467934,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A,59
460054,Male,Yes,38,Yes,Artist,99.0,Low,2.0,Cat_6,C,87
467910,Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7,A,65
467335,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,D,74
460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,B,16
459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,B,61
465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,C,64
459395,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,D,53
467539,Male,Yes,48,Yes,Artist,99.0,Average,4.0,Cat_7,C,47
466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,C,88
466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,A,33
463610,Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,A,61
465539,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,B,16
459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,A,33
467614,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,B,45
459073,Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,C,43
464863,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4,D,61
460022,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,A,13
459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6,A,91
466613,Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6,D,22
461149,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,D,98
466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6,C,2
461513,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,B,95
464761,Female,Yes,50,No,Engineer,99.0,Average,4.0,Cat_2,B,51
466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,B,87
459664,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,B,83
461967,Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7,C,41
461710,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,C,93
462742,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3,D,62
459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,C,7
462691,Male,Yes,25,No,Doctor,99.0,Average,2.0,Cat_4,B,47
462934,Male,Yes,56,No,Executive,99.0,High,2.0,Cat_6,A,55
467515,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6,A,2
463429,Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6,A,88
464024,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7,D,41
460691,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,D,36
461825,Female,No,56,No,Engineer,99.0,Low,1.0,Cat_6,A,71
467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,B,29
465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,B,16
464801,Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4,D,72
459429,Female,Yes,25,Yes,Healthcare,99.0,Low,2.0,Cat_6,D,40
459888,Female,Yes,74,No,Lawyer,99.0,High,2.0,Cat_6,D,12
462036,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B,36
460448,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,A,53
464464,Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2,C,40
462410,Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,B,17
459756,Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,B,29
463789,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,C,97
466947,Male,Yes,57,No,Executive,1.0,High,5.0,Cat_6,C,98
464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,C,60
465693,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4,A,10
461670,Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6,C,39
466768,Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6,C,61
461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6,A,69
462438,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2,D,44
460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,B,26
464884,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4,A,26
467050,Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2,B,46
466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,B,86
459488,Male,Yes,47,No,Artist,99.0,Average,4.0,Cat_6,A,23
467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,C,26
465425,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,B,66
462318,Female,Yes,82,No,Lawyer,0.0,Average,2.0,Cat_6,A,72
466078,Female,Yes,51,No,Executive,99.0,Low,1.0,Cat_6,A,67
460197,Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2,A,6
459375,Male,Yes,18,No,Executive,0.0,High,4.0,Cat_6,A,34
463862,Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6,C,30
462721,Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,D,0
459637,Female,No,33,No,Engineer,99.0,Low,4.0,Cat_6,C,94
465809,Female,No,25,No,Homemaker,1.0,Low,7.0,Cat_4,B,55
466915,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,D,33
467343,Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6,B,49
466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4,C,40
464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4,A,74
464038,Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6,A,49
460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6,C,91
462161,Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6,D,90
464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,B,8
464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,B,60
467619,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6,B,15
465974,Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,C,60
462075,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,B,29
459494,Female,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6,A,44
466921,Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,D,9
463544,Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6,C,18
461167,Male,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3,A,12
467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3,C,47
462408,Male,No,32,Yes,Artist,1.0,Low,2.0,Cat_6,A,73
466224,Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2,C,56
465151,Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6,B,58
467216,Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6,D,78
460586,Male,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3,A,78
461197,Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3,D,65
462776,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,C,28
464088,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,D,24
459471,Female,No,32,No,Artist,99.0,Low,8.0,Cat_6,C,49
464695,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,D,99
462331,Female,No,31,No,Entertainment,0.0,Low,2.0,Cat_6,D,87
466523,Male,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3,B,17
465337,Female,Yes,43,No,Engineer,1.0,Low,3.0,Cat_7,A,80
460834,Male,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1,A,42
466824,Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6,A,98
461607,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,Cat_3,B,50
465091,Male,Yes,63,Yes,Entertainment,99.0,Average,3.0,Cat_6,C,86
459532,Female,Yes,27,Yes,Healthcare,99.0,Low,2.0,Cat_6,D,76
466999,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,D,94
466597,Female,No,19,No,Healthcare,1.0,Low,2.0,Cat_6,D,44
464075,Female,Yes,86,Yes,Lawyer,0.0,High,2.0,Cat_6,B,3
463394,Male,Yes,41,Yes,Marketing,99.0,High,2.0,Cat_6,B,99
462163,Female,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3,C,10
463895,Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6,B,66
464767,Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4,B,32
464763,Female,Yes,49,No,Engineer,99.0,Average,4.0,Cat_4,B,64
466374,Male,Yes,83,No,Lawyer,99.0,Low,1.0,Cat_4,B,89
463738,Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6,A,7
465967,Male,Yes,36,No,Doctor,6.0,Low,3.0,Cat_6,A,49
462260,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,C,53
467234,Female,No,30,No,Homemaker,0.0,Low,4.0,Cat_6,D,89
466573,Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6,B,69
463229,Female,No,22,No,Marketing,0.0,Low,1.0,Cat_5,B,0
459768,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D,44
462541,Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6,B,91
467714,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6,A,12
467730,Male,No,18,No,Healthcare,99.0,Low,4.0,Cat_6,D,87
459474,Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,D,17
460093,Female,No,45,Yes,Artist,4.0,Low,1.0,Cat_3,A,82
467865,Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_4,A,27
465758,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,D,12
464184,Female,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6,B,44
462618,Female,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4,D,99
464226,Female,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6,C,60
465432,Female,Yes,58,Yes,Engineer,0.0,Average,4.0,Cat_4,B,70
464087,Female,No,32,No,Engineer,99.0,Low,4.0,Cat_6,C,5
466627,Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_6,C,92
467380,Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C,92
465842,Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6,A,88
464622,Female,No,30,No,Healthcare,8.0,Low,3.0,Cat_6,A,98
462083,Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6,D,57
460910,Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,A,79
460255,Female,No,38,Yes,Doctor,14.0,Low,1.0,Cat_6,A,39
460109,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,C,40
464306,Male,No,29,Yes,Artist,3.0,Low,1.0,Cat_6,B,79
466835,Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7,B,32
465192,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,A,63
463380,Female,Yes,69,Yes,Engineer,1.0,Low,1.0,Cat_3,A,36
462391,Female,No,26,No,Healthcare,1.0,Low,8.0,Cat_7,C,15
467086,Female,Yes,83,Yes,Lawyer,0.0,Low,3.0,Cat_6,A,9
460306,Female,No,39,Yes,Healthcare,9.0,Low,1.0,Cat_6,D,72
460752,Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6,A,17
467264,Male,Yes,19,No,Marketing,2.0,High,5.0,Cat_6,C,57
461646,Female,Yes,60,Yes,Artist,99.0,High,4.0,Cat_6,C,35
463570,Male,Yes,35,Yes,Artist,99.0,Average,4.0,Cat_6,C,51
465277,Female,No,53,Yes,Engineer,99.0,Low,1.0,Cat_6,B,71
466258,Female,No,29,No,Healthcare,1.0,Low,3.0,Cat_6,B,46
463719,Female,No,26,No,Doctor,0.0,Low,1.0,Cat_6,D,82
460032,Male,No,36,Yes,Engineer,8.0,Low,1.0,Cat_6,A,3
465175,Female,No,22,No,Homemaker,0.0,Low,4.0,Cat_6,D,93
466610,Male,No,19,No,Marketing,0.0,Low,5.0,Cat_6,A,15
459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,A,71
464047,Male,No,43,Yes,Healthcare,3.0,Low,3.0,Cat_6,D,62
459496,Female,No,42,Yes,Artist,99.0,Low,3.0,Cat_6,A,97
459997,Male,No,43,Yes,Entertainment,1.0,Low,2.0,Cat_4,A,68
463382,Female,Yes,50,Yes,Engineer,4.0,High,3.0,Cat_6,B,18
460967,Male,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_6,A,89
465094,Male,Yes,61,No,Artist,1.0,High,2.0,Cat_6,B,51
461229,Female,Yes,28,Yes,Healthcare,0.0,Average,2.0,Cat_6,A,42
466442,Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,D,83
464527,Male,No,25,No,Executive,12.0,Low,3.0,Cat_6,A,53
463560,Female,No,18,No,Healthcare,9.0,Low,5.0,Cat_4,D,54
460011,Male,Yes,43,Yes,Entertainment,1.0,Average,5.0,Cat_5,C,23
467207,Female,No,27,Yes,Artist,8.0,Low,1.0,Cat_6,B,95
465177,Female,No,60,Yes,Entertainment,1.0,Low,2.0,Cat_6,D,17
467531,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,D,72
